,upper_short,lower_short,upper_long,lower_long,upper_p,lower_p,training_returns,training_benchmark_returns,training_benchmark_std,returns,benchmark_returns,benchmark_std,ticker
0,11,19,60,70,0.025,1e-08,-0.00274010755192889,0.00031091775296343506,0.018389481038028885,-0.0022311239708845336,0.0012962442040995849,0.017771828432068662,AAPL
1,3,35,90,50,1e-08,0.0007500025000000001,0.0018214710556178151,0.0016556807220635943,0.015622042273992514,-0.00262278716462457,0.0008282209015899355,0.017550399371708412,ABBV
2,3,35,60,50,0.0187500025,0.0007500025000000001,0.0005350893959201602,0.0008851882638617551,0.01103092542578816,-0.004440103424182111,0.0007316859446477524,0.014804102426117566,ABT
3,11,35,80,70,0.0187500025,0.0007500025000000001,-4.243450485940429e-05,0.0009016293739016602,0.013482712979953616,-0.001306168534947719,0.0008511635727474962,0.014728918033273593,ACN
4,3,35,70,80,1e-08,0.0005000050000000001,0.0018804290032825733,0.0016030857109055475,0.015620942963004203,0.0020843790864552973,0.0011107346604451393,0.019201026703728467,ADBE
