,upper_short,lower_short,upper_long,lower_long,upper_p,lower_p,training_returns,training_benchmark_returns,training_benchmark_std,returns,benchmark_returns,benchmark_std,ticker
0,13,21,75,68,7.50025e-05,0.0001,0.00047237404386637837,0.00031091775296343506,0.018389481038028885,0.0011874478529409,0.0012962442040995849,0.017771828432068662,AAPL
1,13,13,56,68,0.0001,0.018775,0.0006518334527375124,0.0016556807220635943,0.015622042273992514,0.0011960876263222878,0.0008282209015899355,0.017550399371708412,ABBV
2,13,21,75,68,0.0001,0.01255,0.0007735159246592269,0.0008851882638617551,0.01103092542578816,0.00115586641017222,0.0007316859446477524,0.014804102426117566,ABT
3,10,10,68,50,5.0005000000000007e-05,0.006325000000000001,0.0013166694916887619,0.0009016293739016602,0.013482712979953616,0.0013174601706706823,0.0008511635727474962,0.014728918033273593,ACN
4,21,25,62,75,5.0005000000000007e-05,0.0001,0.0019619049348389055,0.0016030857109055475,0.015620942963004203,0.0011764118718171797,0.0011107346604451393,0.019201026703728467,ADBE
5,10,25,62,68,0.0001,0.0001,0.0012135587766243714,0.001024118130846452,0.015073235689791388,0.0005705529495340666,0.001316028557941762,0.02408126355068711,AMAT
6,10,13,75,50,0.0001,0.0001,0.001242140996186252,-0.0007880889896240108,0.03337694907983953,0.005108151679991045,0.0023806961325431547,0.03730990976727099,AMD
7,10,21,56,50,5.0005000000000007e-05,0.0001,0.001390902871141582,0.0014083564952459577,0.014624315882271062,0.00028998533766172696,0.0005227244603478938,0.01606702001626048,AMGN
8,13,25,75,50,7.50025e-05,0.0001,0.0009831349327983476,0.0014730434447026036,0.01876833353386982,0.003289214023865666,0.0012615194650287644,0.019349902852798435,AMZN
9,10,25,56,56,0.0001,0.0001,0.0021294574042086,0.0020202872291107473,0.022185247248241478,0.0022777465703915276,0.0012405312142487544,0.020733924110656405,ASML
10,25,13,62,50,2.5007500000000004e-05,0.0001,0.0015256180875313848,0.0012919288611576562,0.020073931524483373,0.001354995310951812,0.0014880255419040783,0.022037355492369556,AVGO
11,10,17,56,75,0.0001,0.006325000000000001,0.0015619760621977707,0.0011636888697976382,0.012178473599952071,0.0013810610346637305,0.000629652244492907,0.019214260749782722,AXP
12,13,10,62,62,7.50025e-05,0.025,0.0012316080645237849,0.0010481034875113458,0.009978240381093954,0.0009919057104396693,0.0005560873349533742,0.01602500125836317,AZN
13,10,13,62,50,2.5007500000000004e-05,0.0001,0.0020284285550434674,0.0012429846123463326,0.01314869597712992,0.0020846396920133074,0.0006252193007056898,0.024997691738964208,BA
14,10,10,50,50,1e-08,0.0001,,,,0.0009205711102786973,0.0003793635233743483,0.022480671624457507,BABA
15,10,10,68,75,0.0001,0.018775,0.0019868595697467364,0.0015902828945907794,0.01919531087228369,0.001657050979947312,0.0007780067010108576,0.019791914583520996,BAC
16,10,25,50,75,0.0001,0.0001,0.00038801259543555625,5.0410993483537204e-05,0.015260964182214308,0.00299891328753541,0.00039642581957328196,0.021383652405923936,BHP
17,10,25,75,62,0.0001,0.006325000000000001,0.0016381524983341551,0.0010852607281334019,0.014329189724771468,0.0015211174103339437,0.0006960247155339474,0.01672166560822701,BLK
18,10,13,62,56,7.50025e-05,0.0001,0.0006239324093208035,0.0012442061913632402,0.01306966610597225,0.0009996327366637965,0.0003498462741156536,0.01570170461807143,BMY
19,10,25,75,75,0.0001,0.006325000000000001,0.0024258140029814997,0.0017939859280152704,0.018037475473244045,0.0010847665058667866,0.0011005112351628616,0.020007017364825404,BX
20,13,25,68,68,0.0001,0.0001,0.0016616824528251453,0.0008999593282235313,0.01822978148008515,0.001571585913021034,0.00043595222904526786,0.0207647861337014,C
21,10,25,75,62,5.0005000000000007e-05,0.01255,0.0012208486104278177,0.0013000044529539233,0.012356038006119913,0.0009686957518448652,0.0004809708880299975,0.01512833861463069,CMCSA
22,10,17,75,62,0.0001,0.0001,0.0007949130957236982,0.000516523733171246,0.010501368810558322,0.001396887428645159,0.0005813197969076552,0.02452976304249096,COP
23,10,10,68,50,0.0001,0.018775,0.0009082373593749389,0.000851075543645469,0.009982849749739826,0.0015134052743917444,0.0009092143148328794,0.012572984649026578,COST
24,10,25,75,75,0.0001,0.0001,0.0016312573486269098,0.001574121285220779,0.020965305233562038,-0.00036549962940963675,0.0007898923042557578,0.02125378738499517,CRM
25,10,17,50,68,0.0001,0.0001,0.0008389585870527332,0.000416734905757326,0.016094479712856838,0.0013391846518831976,0.0007153323322403371,0.015727935243723165,CSCO
26,10,10,56,50,0.0001,0.0001,0.0010313851957081865,0.0010773936460244278,0.010470625557819593,0.0009553220641140426,0.0004002953717953544,0.01590436444220782,CVS
27,13,17,56,56,7.50025e-05,0.0001,0.00033396644003315227,0.00029188604543675147,0.009823554601367728,0.0009913207112329282,0.00042577494843793856,0.018792510409499242,CVX
28,10,17,75,50,5.0005000000000007e-05,0.018775,0.00013559216040369692,0.00019071092278668734,0.012351334397129933,0.0015872743300705777,0.0009722007916131951,0.017950089122983976,DE
29,10,25,75,50,7.50025e-05,0.006325000000000001,0.0002544506152592844,0.0007646131747001836,0.010810421044354701,0.0008579790103589368,0.00041118663114147894,0.01286929530376851,DEO
30,10,10,62,75,0.0001,0.025,0.0007956082368882407,0.0007817757807409428,0.011165453984718477,0.0013001840959054253,0.0008714486946373776,0.01341478357310486,DHR
31,10,25,75,56,1e-08,0.025,0.0022312711609185692,0.0014088489895966152,0.011787875746978031,0.0008788041138016125,0.0004949284976996622,0.016305240003829612,DIS
