,short,long,alpha,strategy_returns,strategy_std,benchmark_returns,benchmark_std,training_strategy_returns,training_strategy_std,training_benchmark_returns,training_benchmark_std,ticker
0,19,50,0.001,0.0015599558306069266,0.018483016851901155,0.0013024033083341231,0.01777409094150749,0.002077786145106626,0.015959568205947055,0.00031091775296343506,0.018389481038028885,AAPL
1,16,50,0.003,0.0009379317622836219,0.01643659537374418,0.0008034992057908901,0.017735712738836878,0.012407369104005675,0.02161835390331203,0.0014768782437064715,0.015562148830088699,ABBV
2,16,55,0.007,0.0005621984030166681,0.0159889793235301,0.0007337063325433289,0.014807501222098582,0.0024668561873092873,0.010732415824061073,0.0008851882638617551,0.01103092542578816,ABT
3,18,50,0.009000000000000001,0.0011622043803351718,0.016449397933412987,0.0008490850356123979,0.014732280430281392,0.006401780596541241,0.014631546823173018,0.0009016293739016602,0.013482712979953616,ACN
4,20,72,0.009000000000000001,0.001121277286353308,0.023929913273690304,0.0011131713509323503,0.019205483742778345,0.004531259100154359,0.021023571506655608,0.0016030857109055475,0.015620942963004203,ADBE
5,16,66,0.001,0.0019566527328392924,0.027512691518743106,0.0013138057730271908,0.024087037482736946,0.003659725031485249,0.015131614715713674,0.001024118130846452,0.015073235689791388,AMAT
6,16,50,0.001,0.002388738949572444,0.04114287559411108,0.0023818782060945664,0.03731913811561941,0.011055561736839858,0.01706712106270225,-0.0007880889896240108,0.03337694907983953,AMD
7,15,50,0.005,0.0007538401774139006,0.018166455408212108,0.0005215366544947843,0.01607092184230587,0.004473678731409517,0.011973611822326655,0.0014083564952459577,0.014624315882271062,AMGN
8,23,55,0.007,0.000983552163035499,0.019778550744807215,0.0012664609433515987,0.019353436739993592,0.004734058292845557,0.01243607383089828,0.0014730434447026036,0.01876833353386982,AMZN
9,20,50,0.009000000000000001,0.0012993753331880312,0.021069378368984888,0.0012409794234101016,0.020739063713093975,0.004811512175572317,0.013124384700911903,0.0020202872291107473,0.022185247248241478,ASML
10,20,94,0.003,0.000797421055652225,0.028380312543183347,0.0014925515467637768,0.022041891802801163,0.010381520319085107,0.03166688116179332,0.0012919288611576562,0.020073931524483373,AVGO
11,25,83,0.003,0.0004549722908667289,0.023374445108975694,0.0006314151007732528,0.019218869709398376,0.005314930126453243,0.008763325158941493,0.0011636888697976382,0.012178473599952071,AXP
12,20,50,0.009000000000000001,0.0011218092903415324,0.017996635666956858,0.0005564379539829728,0.016028973411184345,0.003574013429283552,0.006938927135356686,0.0010481034875113458,0.009978240381093954,AZN
13,22,66,0.009000000000000001,-0.00026663788722725343,0.028083404454254,0.0006304351348622079,0.025002803275936642,0.006063006446885611,0.014762060092418199,0.0012429846123463326,0.01314869597712992,BA
14,25,88,0.001,-0.00015153537212585607,0.025105963067396913,0.0005885065597358653,0.02256922702122877,0.0025380565747067864,0.027646302362127242,-0.0004190781032414639,0.022148686382347862,BABA
15,22,88,0.005,0.00045304453885320993,0.024114720916932602,0.0007786976242671265,0.019796805690981786,0.009482240351407614,0.01212201382168747,0.0015902828945907794,0.01919531087228369,BAC
16,22,50,0.007,0.00025792185746540455,0.014352353835403892,0.00039627102738654297,0.021388962006328848,0.002467643993254134,0.013387897486935167,5.0410993483537204e-05,0.015260964182214308,BHP
17,19,72,0.007,0.000767324163967549,0.019588756878478275,0.0006988816441311391,0.0167253266097798,0.005515878775309712,0.015023848954795867,0.0010852607281334019,0.014329189724771468,BLK
18,15,50,0.001,0.0002211007821719782,0.016305657039590214,0.0003473459741081891,0.015705202977191537,0.005904381523074367,0.017151199196413284,0.0012442061913632402,0.01306966610597225,BMY
19,19,66,0.005,0.0013843509247147801,0.023418907364249793,0.0010954190125730644,0.020010680031372803,0.007045905975447199,0.016157954637369156,0.0017939859280152704,0.018037475473244045,BX
20,22,77,0.003,0.0004225239246471213,0.025245421060984916,0.00043482767143258855,0.020769881790266075,0.007557507790043965,0.017858072679081984,0.0008999593282235313,0.01822978148008515,C
21,25,100,0.007,0.0005629730775384475,0.017705176460217936,0.00048802060518463595,0.015128784858378248,0.007186918806742834,0.01805790129422214,0.0013000044529539233,0.012356038006119913,CMCSA
22,23,88,0.001,-0.0014424163764427465,0.03482190652717527,0.000583443968544837,0.02453566975290543,0.002291792553894695,0.008252112626586991,0.000516523733171246,0.010501368810558322,COP
23,15,61,0.003,0.0008015682249347697,0.014341697659945241,0.0009177354619440903,0.012570286026448083,0.0014834364016384574,0.012472838232680682,0.000851075543645469,0.009982849749739826,COST
24,20,72,0.001,0.0006894389513951888,0.02648302283076185,0.0007857140395518396,0.02125823807821002,0.009710778735924169,0.023647103461983027,0.001574121285220779,0.020965305233562038,CRM
25,25,77,0.007,0.0005806488829575822,0.018072660675953783,0.0007194727966762762,0.015730742863790066,0.008141270681960066,0.012768601275350042,0.000416734905757326,0.016094479712856838,CSCO
26,25,72,0.001,0.0009608872980947078,0.01674316300004877,0.0004012603563351902,0.015908255361596246,0.0067815994916815,0.009944783910579881,0.0010773936460244278,0.010470625557819593,CVS
27,22,66,0.001,0.00019390054686646395,0.022114852129651284,0.00043430515353993447,0.01879327521379328,0.0038920389443068567,0.009363135562264315,0.00029188604543675147,0.009823554601367728,CVX
28,18,61,0.007,0.0010374525161465564,0.01967529533669988,0.0009751917135925284,0.01795404488129777,0.0013398976374688531,0.013677769862328257,0.00019071092278668734,0.012351334397129933,DE
29,25,77,0.007,0.00010113938328413758,0.016093970718224774,0.00041506908622575706,0.012871311048462536,0.007965021801925397,0.007713040480395979,0.0007646131747001836,0.010810421044354701,DEO
