,short,long,alpha,strategy_returns,strategy_std,benchmark_returns,benchmark_std,training_strategy_returns,training_strategy_std,training_benchmark_returns,training_benchmark_std,ticker
0,25,50,0.03,0.0006045620706095444,0.0176138988273013,0.0013024033083341231,0.01777409094150749,0.0065333920020960775,0.01548851825471613,0.00031091775296343506,0.018389481038028885,AAPL
1,22,50,0.04,0.0009131962327678942,0.01670585829100716,0.0008034992057908901,0.017735712738836878,0.003806200936874289,0.017186192534942826,0.0014768782437064715,0.015562148830088699,ABBV
2,23,55,0.02,0.0009254455816168826,0.016621167805653477,0.0007337063325433289,0.014807501222098582,0.002926562418102005,0.01063626287017286,0.0008851882638617551,0.01103092542578816,ABT
3,18,50,0.01,0.0010320661234963567,0.017147159721184097,0.0008490850356123979,0.014732280430281392,0.006401780596541241,0.014631546823173018,0.0009016293739016602,0.013482712979953616,ACN
4,20,50,0.04,0.0011223179217956679,0.022505673468044156,0.0011131713509323503,0.019205483742778345,0.0047832419524093455,0.02154261416340428,0.0016030857109055475,0.015620942963004203,ADBE
5,22,72,0.02,0.0015688563616877715,0.02703557540365817,0.0013138057730271908,0.024087037482736946,0.003062066196839114,0.01781922033707341,0.001024118130846452,0.015073235689791388,AMAT
6,25,72,0.01,0.004622465676302858,0.04375616130937881,0.0023818782060945664,0.03731913811561941,0.003726981782224952,0.033454969519256694,-0.0007880889896240108,0.03337694907983953,AMD
7,15,50,0.01,0.0005248173655977735,0.018090472462386403,0.0005215366544947843,0.01607092184230587,0.0033680341279542373,0.016255102960246858,0.0014083564952459577,0.014624315882271062,AMGN
8,20,55,0.01,0.0013533145618495287,0.01990754083010773,0.0012664609433515987,0.019353436739993592,0.0031847649040190108,0.015391198418975197,0.0014730434447026036,0.01876833353386982,AMZN
9,20,50,0.01,0.0012993753331880312,0.021069378368984888,0.0012409794234101016,0.020739063713093975,0.004811512175572317,0.013124384700911903,0.0020202872291107473,0.022185247248241478,ASML
10,23,94,0.01,0.000921523695959282,0.02640747482732458,0.0014925515467637768,0.022041891802801163,0.008237847992669429,0.024628788936056665,0.0012919288611576562,0.020073931524483373,AVGO
11,23,72,0.02,0.00035658521690921425,0.023349807745052728,0.0006314151007732528,0.019218869709398376,0.00453876930543476,0.013656042429509983,0.0011636888697976382,0.012178473599952071,AXP
12,20,50,0.01,0.0011218092903415324,0.017996635666956858,0.0005564379539829728,0.016028973411184345,0.003574013429283552,0.006938927135356686,0.0010481034875113458,0.009978240381093954,AZN
13,20,50,0.02,0.0007660599021293088,0.025515689995808073,0.0006304351348622079,0.025002803275936642,0.006063006446885611,0.014762060092418199,0.0012429846123463326,0.01314869597712992,BA
14,22,61,0.01,-0.0006105575388107798,0.024454403787719292,0.0005885065597358653,0.02256922702122877,0.0011020208728928223,0.027044885201033198,-0.0004190781032414639,0.022148686382347862,BABA
15,23,61,0.01,0.0010974036905901053,0.021460081672097023,0.0007786976242671265,0.019796805690981786,0.007432537792993486,0.03159222068119276,0.0015902828945907794,0.01919531087228369,BAC
16,25,55,0.01,0.001900401233923929,0.02777369851165426,0.00039627102738654297,0.021388962006328848,0.001752066031034767,0.013332707522915507,5.0410993483537204e-05,0.015260964182214308,BHP
17,20,61,0.02,0.0007336188553192337,0.019019584252562186,0.0006988816441311391,0.0167253266097798,0.007118999377957258,0.014620853792484133,0.0010852607281334019,0.014329189724771468,BLK
18,22,50,0.04,4.733273238221241e-05,0.016838024848458536,0.0003473459741081891,0.015705202977191537,0.007100923701515109,0.020373162000082577,0.0012442061913632402,0.01306966610597225,BMY
19,20,55,0.02,0.0010806303240077852,0.02404649500314703,0.0010954190125730644,0.020010680031372803,0.008320590645622516,0.020395264613446634,0.0017939859280152704,0.018037475473244045,BX
20,22,72,0.01,0.0005387271680358968,0.025570796430879193,0.00043482767143258855,0.020769881790266075,0.0042840371213340635,0.022057536306654694,0.0008999593282235313,0.01822978148008515,C
21,23,66,0.03,0.0006765243041919232,0.01665927587080519,0.00048802060518463595,0.015128784858378248,0.005355812168720704,0.0158993215433624,0.0013000044529539233,0.012356038006119913,CMCSA
22,20,50,0.02,-0.00016459495616085918,0.034481083635587564,0.000583443968544837,0.02453566975290543,0.0062726909324341195,0.004798851213749182,0.000516523733171246,0.010501368810558322,COP
23,22,72,0.03,0.0010589898931587399,0.014231059861409254,0.0009177354619440903,0.012570286026448083,0.0015681507870289573,0.010340914893300942,0.000851075543645469,0.009982849749739826,COST
24,25,50,0.04,0.0012484258176986326,0.019059686419299244,0.0007857140395518396,0.02125823807821002,0.0072891030212511865,0.017151404732290206,0.001574121285220779,0.020965305233562038,CRM
25,25,66,0.02,0.0004731626883683839,0.017219900470589324,0.0007194727966762762,0.015730742863790066,0.0036702309362222794,0.019427160257773215,0.000416734905757326,0.016094479712856838,CSCO
26,22,50,0.02,0.0002166783371452752,0.01786853675744589,0.0004012603563351902,0.015908255361596246,0.00259847000931384,0.00975688085171368,0.0010773936460244278,0.010470625557819593,CVS
27,23,50,0.02,0.0006262484460980563,0.021180180314766466,0.00043430515353993447,0.01879327521379328,0.0038932676476123892,0.006337140141492883,0.00029188604543675147,0.009823554601367728,CVX
28,23,66,0.03,0.0006081917054142909,0.02061956127339382,0.0009751917135925284,0.01795404488129777,0.002319633621664786,0.012573133182177412,0.00019071092278668734,0.012351334397129933,DE
29,25,77,0.01,0.00018263091140522487,0.014963914266161315,0.00041506908622575706,0.012871311048462536,0.007965021801925397,0.007713040480395979,0.0007646131747001836,0.010810421044354701,DEO
30,23,72,0.01,0.0006336721430578191,0.014793545232176152,0.0008716204527781455,0.013418112980866901,0.003169604436890887,0.011001993662485613,0.0007817757807409428,0.011165453984718477,DHR
31,18,61,0.01,8.319714648496844e-05,0.019443316258300328,0.0004892803541926034,0.016307317683613695,0.002042817423322064,0.012509417459881413,0.0014088489895966152,0.011787875746978031,DIS
32,23,55,0.03,0.0004065399540272573,0.023787170844708144,0.0008362269302227082,0.020640609041937444,0.00890937284062925,0.03761407563710431,0.0014766477669502023,0.033449629779062996,FB
33,25,61,0.02,0.001052895510729735,0.01781641251141148,0.000865337768720903,0.01646872315980564,0.0035038032416787783,0.013398021820766543,0.0014359197605825266,0.013781877567846598,GOOG
34,25,61,0.02,0.001034901529889776,0.017861959926772652,0.0008625096481883003,0.016449550730234744,0.003503803448361138,0.013398030046607326,0.0014359197005968233,0.013781877149748677,GOOGL
35,23,72,0.02,-5.949795901156282e-05,0.02128075309331939,0.0005970042159130864,0.01808066068672226,0.002196327599138989,0.014492602318171701,0.0008598941658252812,0.015236534788135525,GS
